count,start_year,start_month,start_day,start_hour,end_year,end_month,end_day,end_hour
454, 1996, 03,14,00, 1996, 03,20,00
455, 1996, 03,19,00, 1996, 03,25,00
456, 1996, 03,24,00, 1996, 03,30,00
457, 1996, 03,29,00, 1996, 04,04,00
458, 1996, 04,03,00, 1996, 04,09,00
459, 1996, 04,08,00, 1996, 04,14,00
460, 1996, 04,13,00, 1996, 04,19,00
461, 1996, 04,18,00, 1996, 04,24,00
462, 1996, 04,23,00, 1996, 04,29,00
463, 1996, 04,28,00, 1996, 05,04,00
464, 1996, 05,03,00, 1996, 05,09,00
465, 1996, 05,08,00, 1996, 05,14,00
466, 1996, 05,13,00, 1996, 05,19,00
467, 1996, 05,18,00, 1996, 05,24,00
468, 1996, 05,23,00, 1996, 05,29,00
469, 1996, 05,28,00, 1996, 06,03,00
470, 1996, 06,02,00, 1996, 06,08,00
471, 1996, 06,07,00, 1996, 06,13,00
472, 1996, 06,12,00, 1996, 06,18,00
473, 1996, 06,17,00, 1996, 06,23,00
474, 1996, 06,22,00, 1996, 06,28,00
475, 1996, 06,27,00, 1996, 07,03,00
476, 1996, 07,02,00, 1996, 07,08,00
477, 1996, 07,07,00, 1996, 07,13,00
478, 1996, 07,12,00, 1996, 07,18,00
479, 1996, 07,17,00, 1996, 07,23,00
480, 1996, 07,22,00, 1996, 07,28,00
481, 1996, 07,27,00, 1996, 08,02,00
482, 1996, 08,01,00, 1996, 08,07,00
483, 1996, 08,06,00, 1996, 08,12,00
484, 1996, 08,11,00, 1996, 08,17,00
485, 1996, 08,16,00, 1996, 08,22,00
486, 1996, 08,21,00, 1996, 08,27,00
487, 1996, 08,26,00, 1996, 09,01,00
488, 1996, 08,31,00, 1996, 09,06,00
489, 1996, 09,05,00, 1996, 09,11,00
490, 1996, 09,10,00, 1996, 09,16,00
491, 1996, 09,15,00, 1996, 09,21,00
492, 1996, 09,20,00, 1996, 09,26,00
493, 1996, 09,25,00, 1996, 10,01,00
494, 1996, 09,30,00, 1996, 10,06,00
495, 1996, 10,05,00, 1996, 10,11,00
496, 1996, 10,10,00, 1996, 10,16,00
497, 1996, 10,15,00, 1996, 10,21,00
498, 1996, 10,20,00, 1996, 10,26,00
499, 1996, 10,25,00, 1996, 10,31,00
500, 1996, 10,30,00, 1996, 11,05,00
501, 1996, 11,04,00, 1996, 11,10,00
502, 1996, 11,09,00, 1996, 11,15,00
503, 1996, 11,14,00, 1996, 11,20,00
504, 1996, 11,19,00, 1996, 11,25,00
505, 1996, 11,24,00, 1996, 11,30,00
506, 1996, 11,29,00, 1996, 12,05,00
507, 1996, 12,04,00, 1996, 12,10,00
508, 1996, 12,09,00, 1996, 12,15,00
509, 1996, 12,14,00, 1996, 12,20,00
510, 1996, 12,19,00, 1996, 12,25,00
511, 1996, 12,24,00, 1996, 12,30,00
512, 1996, 12,29,00, 1997, 01,04,00
513, 1997, 01,03,00, 1997, 01,09,00
514, 1997, 01,08,00, 1997, 01,14,00
515, 1997, 01,13,00, 1997, 01,19,00
516, 1997, 01,18,00, 1997, 01,24,00
517, 1997, 01,23,00, 1997, 01,29,00
518, 1997, 01,28,00, 1997, 02,03,00
519, 1997, 02,02,00, 1997, 02,08,00
520, 1997, 02,07,00, 1997, 02,13,00
521, 1997, 02,12,00, 1997, 02,18,00
522, 1997, 02,17,00, 1997, 02,23,00
523, 1997, 02,22,00, 1997, 02,28,00
524, 1997, 02,27,00, 1997, 03,05,00
525, 1997, 03,04,00, 1997, 03,10,00
526, 1997, 03,09,00, 1997, 03,15,00
527, 1997, 03,14,00, 1997, 03,20,00
528, 1997, 03,19,00, 1997, 03,25,00
529, 1997, 03,24,00, 1997, 03,30,00
530, 1997, 03,29,00, 1997, 04,04,00
531, 1997, 04,03,00, 1997, 04,09,00
532, 1997, 04,08,00, 1997, 04,14,00
533, 1997, 04,13,00, 1997, 04,19,00
534, 1997, 04,18,00, 1997, 04,24,00
535, 1997, 04,23,00, 1997, 04,29,00
536, 1997, 04,28,00, 1997, 05,04,00
537, 1997, 05,03,00, 1997, 05,09,00
538, 1997, 05,08,00, 1997, 05,14,00
539, 1997, 05,13,00, 1997, 05,19,00
540, 1997, 05,18,00, 1997, 05,24,00
541, 1997, 05,23,00, 1997, 05,29,00
542, 1997, 05,28,00, 1997, 06,03,00
543, 1997, 06,02,00, 1997, 06,08,00
544, 1997, 06,07,00, 1997, 06,13,00
545, 1997, 06,12,00, 1997, 06,18,00
546, 1997, 06,17,00, 1997, 06,23,00
547, 1997, 06,22,00, 1997, 06,28,00
548, 1997, 06,27,00, 1997, 07,03,00
549, 1997, 07,02,00, 1997, 07,08,00
550, 1997, 07,07,00, 1997, 07,13,00
551, 1997, 07,12,00, 1997, 07,18,00
552, 1997, 07,17,00, 1997, 07,23,00
553, 1997, 07,22,00, 1997, 07,28,00
554, 1997, 07,27,00, 1997, 08,02,00
555, 1997, 08,01,00, 1997, 08,07,00
556, 1997, 08,06,00, 1997, 08,12,00
557, 1997, 08,11,00, 1997, 08,17,00
558, 1997, 08,16,00, 1997, 08,22,00
559, 1997, 08,21,00, 1997, 08,27,00
560, 1997, 08,26,00, 1997, 09,01,00
561, 1997, 08,31,00, 1997, 09,06,00
562, 1997, 09,05,00, 1997, 09,11,00
563, 1997, 09,10,00, 1997, 09,16,00
564, 1997, 09,15,00, 1997, 09,21,00
565, 1997, 09,20,00, 1997, 09,26,00
566, 1997, 09,25,00, 1997, 10,01,00
567, 1997, 09,30,00, 1997, 10,06,00
568, 1997, 10,05,00, 1997, 10,11,00
569, 1997, 10,10,00, 1997, 10,16,00
570, 1997, 10,15,00, 1997, 10,21,00
571, 1997, 10,20,00, 1997, 10,26,00
572, 1997, 10,25,00, 1997, 10,31,00
